gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
4035020343	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148497213	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.856413	-117.042039	4.0						2023-02-10T09:51:36	10	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148497213		rangersteve24	2023-02-11T05:26:25	CC_BY_NC_4_0	rangersteve24	rangersteve24			2023-02-20T17:05:58.824Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4035015798	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148778773	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	36.992112	-121.963499	4.0						2023-02-14T11:40:56	14	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148778773		alaiagiglio	2023-02-14T19:47:52	CC_BY_NC_4_0	alaiagiglio	alaiagiglio			2023-02-20T17:06:01.853Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4035012608	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148646698	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.835838	-117.7408	5.0						2023-02-12T12:36:14	12	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148646698		Connor Poylio	2023-02-12T23:08:53	CC_BY_NC_4_0	Connor Poylio	Connor Poylio			2023-02-20T17:14:00.885Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4035012357	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148540042	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.14652	-118.959412	4.0						2023-02-11T11:22:00	11	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148540042		Alicia Di Rado	2023-02-11T19:23:43	CC_BY_NC_4_0	Alicia Di Rado	Alicia Di Rado			2023-02-20T17:14:03.323Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4035003376	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148727994	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.713863	-122.42543	5.0						2023-02-12T14:14:36	12	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148727994		Eric Simons	2023-02-14T00:37:06	CC_BY_NC_4_0	Eric Simons	Eric Simons			2023-02-20T17:14:12.350Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4034996755	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148632940	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	34.452353	-119.816519							2023-02-12T12:26:40	12	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148632940		James Chapman	2023-02-12T20:28:30	CC_BY_NC_4_0	James Chapman	James Chapman			2023-02-20T17:14:00.551Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4034994698	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148687667	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	32.856321	-117.035061	368.0						2023-02-12T12:59:00	12	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148687667		Jim Van Matre	2023-02-13T13:00:01	CC_BY_NC_4_0	Jim Van Matre	Jim Van Matre			2023-02-20T17:13:59.371Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4034987864	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148712514	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	38.638378	-122.574735	3.0						2023-02-13T12:30:06	13	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148712514		worldtraveler27	2023-02-13T22:04:56	CC_BY_NC_4_0	JudyPequotLady	JudyPequotLady			2023-02-20T17:06:38.011Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4034981367	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148622220	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	33.01283	-117.007371	5.0						2023-02-12T10:22:16	12	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148622220		kat_haas	2023-02-12T18:23:31	CC_BY_NC_4_0	kat_haas	kat_haas			2023-02-20T17:05:24.121Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
4034972517	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/148568369	Plantae	Tracheophyta	Magnoliopsida	Ranunculales	Papaveraceae	Eschscholzia	Eschscholzia californica		SPECIES	Eschscholzia californica Cham.	Eschscholzia californica		US		California	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	37.149492	-121.791964							2023-02-11T13:40:00	11	2	2023	2888380	2888380	HUMAN_OBSERVATION	iNaturalist	Observations	148568369		Ed Miller	2023-02-12T01:33:55	CC_BY_NC_4_0	Ed Miller	Ed Miller			2023-02-20T17:13:51.147Z	StillImage	COORDINATE_ROUNDED;CONTINENT_DERIVED_FROM_COORDINATES
